libelleCommune,canton,population,superficie,orientation,tauxAbstention,premierCandidatTour1,deuxiemeCandidatTour1,troisiemeCandidatTour1,premierCandidatTour2,pourcentage1erCandidatTour2,symbole
Le Pellerin,Saint-Brévin-les-Pins,4964,"30,65",Gauche,"16,9",MÉLENCHON,MACRON,LE PEN,MACRON,"72,03",du voilier
Petit-Auverné,Châteaubriant,4964,"22,53",Droite,"16,56",FILLON,LE PEN,MACRON,MACRON,"63,48",de la carrière des fusillés
Petit-Mars,Nort-sur-Erdre,3608,"25,97",Centre,"13,5",MACRON,LE PEN,MÉLENCHON,MACRON,"70,89",de la Nuit de L'Erdre
Pierric,Guéméné-Penfao,981,"27,3",Droite,"16,32",LE PEN,MACRON,MÉLENCHON,MACRON,"55,56",de la vache Nantaise
Le Pin,Ancenis,1411,"24,95",Droite,"15,94",FILLON,LE PEN,MACRON,MACRON,"63,79",du château d'Ancenis
Piriac-sur-Mer,Guérande,2231,"12,37",Droite,"14,25",FILLON,MACRON,LE PEN,MACRON,75,du sel de Guérande
La Plaine-sur-Mer,Pornic,4058,"16,39",Droite,"16,32",LE PEN,FILLON,MACRON,MACRON,"61,67",du voilier
La Planche,Clisson,2576,"24,42",Droite,"15,28",MACRON,LE PEN,FILLON,MACRON,"70,74",du Hellfest
Plessé,Pont-Château,5193,"104,38",Gauche,"17,26",MÉLENCHON,MACRON,LE PEN,MACRON,"67,62",de la vache Nantaise
Pontchâteau,Pont-Château,10604,"55,79",Centre,"15,77",MACRON,MÉLENCHON,LE PEN,MACRON,"70,95",de la vache Nantaise
Pont-Saint-Martin,Saint-Philbert-de-Grand-Lieu,5696,"21,88",Centre,"15,4",MACRON,MÉLENCHON,FILLON,MACRON,"74,93",des vignes
Pornic,Pornic,14902,"94,18",Droite,"15,32",FILLON,MACRON,MÉLENCHON,MACRON,"75,03",du voilier
Pornichet,La Baule-Escoublac,10416,"12,67",Droite,"16,24",FILLON,MACRON,MÉLENCHON,MACRON,"78,37",du casino Barrière
Port-Saint-Père,Machecoul,2894,"32,57",Centre,"13,76",MACRON,MÉLENCHON,FILLON,MACRON,"68,7",de la forêt de Machecoul
Pouillé-les-Côteaux,Ancenis,1000,"11,72",Droite,"13,27",LE PEN,MÉLENCHON,FILLON,MACRON,"58,94",du château d'Ancenis
Le Pouliguen,La Baule-Escoublac,4455,"4,39",Droite,"17,51",FILLON,MACRON,LE PEN,MACRON,"74,92",du casino Barrière
Préfailles,Pornic,1213,"4,88",Droite,"16,22",FILLON,MACRON,MÉLENCHON,MACRON,"74,13",du voilier
Prinquiau,Blain,3499,"22,82",Centre,"12,34",MACRON,MÉLENCHON,LE PEN,MACRON,"67,57",de la centrale à charbon
Puceul,Guéméné-Penfao,1098,"20,09",Centre,"13,68",MACRON,MÉLENCHON,LE PEN,MACRON,"70,87",de la vache Nantaise
Quilly,Blain,1377,"17,67",Gauche,"14,76",MÉLENCHON,LE PEN,MACRON,MACRON,"61,1",de la centrale à charbon
La Regrippière,Vallet,1532,"18,17",Droite,"15,38",LE PEN,MACRON,MÉLENCHON,MACRON,"65,94",du zoo de La Boissière-du-Doré
La Remaudière,Vallet,1276,"12,98",Droite,"13,09",LE PEN,MACRON,FILLON,MACRON,"67,15",du zoo de La Boissière-du-Doré
Remouillé,Clisson,1862,"21,38",Centre,"11,92",MACRON,FILLON,MÉLENCHON,MACRON,"73,71",du Hellfest
Rezé,Rezé,39649,"13,78",Centre,"20,23",MACRON,MÉLENCHON,FILLON,MACRON,"83,73",de l'aéroport
Riaillé,Nort-sur-Erdre,2288,"50,02",Centre,"14,26",MACRON,FILLON,MÉLENCHON,MACRON,"70,57",de la Nuit de L'Erdre
Rouans,Machecoul,2860,"37,73",Centre,"15,25",MACRON,MÉLENCHON,LE PEN,MACRON,"67,04",de la forêt de Machecoul
Rougé,Châteaubriant,2247,"56,32",Droite,"16,65",MACRON,FILLON,LE PEN,MACRON,"63,34",de la carrière des fusillés
Ruffigné,Châteaubriant,714,"33,63",Droite,"11,76",MACRON,LE PEN,FILLON,MACRON,"65,58",de la carrière des fusillés
Saffré,Guéméné-Penfao,3814,"57,46",Gauche,"15,73",MÉLENCHON,MACRON,LE PEN,MACRON,"70,15",de la vache Nantaise
Saint-Aignan-Grandlieu,Rezé,3879,"17,94",Centre,"12,4",MACRON,MÉLENCHON,LE PEN,MACRON,"73,14",de l'aéroport
Saint-André-des-Eaux,La Baule-Escoublac,6197,"24,71",Centre,"13,27",MACRON,FILLON,MÉLENCHON,MACRON,"73,13",du casino Barrière
Sainte-Anne-sur-Brivet,Pont-Château,2922,"25,99",Centre,"14,8",MACRON,MÉLENCHON,LE PEN,MACRON,"69,35",de la vache Nantaise
Saint-Aubin-des-Châteaux,Châteaubriant,1765,"47,56",Droite,"13,9",LE PEN,MACRON,MÉLENCHON,MACRON,"64,37",de la carrière des fusillés
Saint-Brevin-les-Pins,Saint-Brévin-les-Pins,13492,"19,29",Centre,"15,89",MACRON,FILLON,MÉLENCHON,MACRON,"74,14",du voilier
Saint-Colomban,Saint-Philbert-de-Grand-Lieu,3316,"35,72",Droite,"12,67",MACRON,LE PEN,FILLON,MACRON,"66,6",des vignes
Corcoué-sur-Logne,Saint-Philbert-de-Grand-Lieu,2825,"50,39",Centre,"16,16",MACRON,MÉLENCHON,FILLON,MACRON,"67,29",des vignes
Saint-Etienne-de-Mer-Morte,Machecoul,1680,"27,33",Droite,"18,4",FILLON,LE PEN,MACRON,MACRON,"61,53",de la forêt de Machecoul
Saint-Etienne-de-Montluc,Blain,6840,"57,57",Centre,"13,74",MACRON,FILLON,MÉLENCHON,MACRON,"77,74",de la centrale à charbon
