libelleCommune,canton,population,superficie,orientation,tauxAbstention,premierCandidatTour1,deuxiemeCandidatTour1,troisiemeCandidatTour1,premierCandidatTour2,pourcentage1erCandidatTour2,symbole
Clisson,Clisson,6883,"11,3",Centre,"13,51",MACRON,FILLON,MÉLENCHON,MACRON,"81,48",du Hellfest
Conquereuil,Guéméné-Penfao,1095,"32,87",Droite,"15,11",LE PEN,MÉLENCHON,MACRON,MACRON,"56,77",de la vache Nantaise
Cordemais,Blain,3754,"37,2",Centre,"15,27",MACRON,MÉLENCHON,LE PEN,MACRON,"64,7",de la centrale à charbon
Corsept,Saint-Brévin-les-Pins,2640,"23,62",Gauche,"18,28",MÉLENCHON,LE PEN,MACRON,MACRON,"64,88",du voilier
Couëron,Saint-Herblain,22309,"44,03",Centre,"17,78",MACRON,MÉLENCHON,LE PEN,MACRON,"77,77",du bac du Pellerin
Couffé,Ancenis,2518,"39,97",Centre,"14,74",MACRON,MÉLENCHON,FILLON,MACRON,"72,94",du château d'Ancenis
Le Croisic,La Baule-Escoublac,4040,"4,5",Droite,"20,16",FILLON,MACRON,LE PEN,MACRON,"71,91",du casino Barrière
Crossac,Pont-Château,2983,"25,85",Gauche,14,MÉLENCHON,MACRON,LE PEN,MACRON,"65,82",de la vache Nantaise
Derval,Guéméné-Penfao,3505,"63,51",Centre,"17,72",MACRON,FILLON,MÉLENCHON,MACRON,"72,61",de la vache Nantaise
Donges,Saint-Nazaire,7699,"59,9",Gauche,"18,64",MÉLENCHON,LE PEN,MACRON,MACRON,"60,62",du paquebot
Drefféac,Pont-Château,2270,"14,16",Centre,"11,13",MACRON,LE PEN,MÉLENCHON,MACRON,"63,24",de la vache Nantaise
Erbray,Châteaubriant,3043,"58,18",Droite,"15,49",MACRON,LE PEN,FILLON,MACRON,"70,29",de la carrière des fusillés
La Baule-Escoublac,La Baule-Escoublac,16255,"22,19",Droite,"16,1",FILLON,MACRON,LE PEN,MACRON,"76,78",du casino Barrière
Fay-de-Bretagne,La Chapelle-sur-Erdre,3676,"64,81",Gauche,"12,85",MÉLENCHON,MACRON,FILLON,MACRON,"68,99",du parc des Naudières
Fégréac,Pont-Château,2349,"44,18",Centre,"14,13",MACRON,LE PEN,MÉLENCHON,MACRON,"66,17",de la vache Nantaise
Fercé,Châteaubriant,472,"22,04",Droite,"14,33",LE PEN,MACRON,MÉLENCHON,MACRON,"64,71",de la carrière des fusillés
Frossay,Saint-Brévin-les-Pins,3216,"57,22",Droite,"16,09",FILLON,LE PEN,MACRON,MACRON,"63,95",du voilier
Le Gâvre,Blain,1821,"53,58",Gauche,"16,48",MACRON,MÉLENCHON,LE PEN,MACRON,"68,75",de la centrale à charbon
Gétigné,Clisson,3719,"23,8",Centre,"12,55",MACRON,FILLON,MÉLENCHON,MACRON,"73,29",du Hellfest
Gorges,Clisson,19373,"15,77",Centre,"11,69",MACRON,FILLON,MÉLENCHON,MACRON,"78,2",du Hellfest
Grand-Auverné,Châteaubriant,769,"34,4",Droite,"13,36",FILLON,MACRON,LE PEN,MACRON,"66,35",de la carrière des fusillés
Grandchamps-des-Fontaines,La Chapelle-sur-Erdre,6439,"33,87",Centre,"12,38",MACRON,MÉLENCHON,FILLON,MACRON,"76,29",du parc des Naudières
Guémené-Penfao,Guéméné-Penfao,5233,"105,51",Centre,"16,09",MACRON,MÉLENCHON,FILLON,MACRON,"68,6",de la vache Nantaise
Guenrouet,Pont-Château,3374,"69,9",Gauche,"16,43",MÉLENCHON,LE PEN,MACRON,MACRON,"64,38",de la vache Nantaise
Guérande,Guérande,16294,"81,44",Droite,"17,32",FILLON,MACRON,MÉLENCHON,MACRON,"75,72",du sel de Guérande
La Haie-Fouassière,Vertou,4691,"11,81",Centre,"13,41",MACRON,MÉLENCHON,FILLON,MACRON,"79,08",des vignes
Haute-Goulaine,Saint-Sébastien-sur-Loire,5893,"20,59",Centre,"11,76",MACRON,FILLON,MÉLENCHON,MACRON,"82,06",de l'éléphant
Herbignac,Guérande,7046,"71,43",Centre,"13,61",MACRON,LE PEN,MÉLENCHON,MACRON,"65,78",du sel de Guérande
Héric,Nort-sur-Erdre,6288,"73,93",Centre,"13,02",MACRON,MÉLENCHON,LE PEN,MACRON,"70,73",de la Nuit de L'Erdre
Indre,Saint-Herblain,4040,"4,72",Gauche,"14,64",MÉLENCHON,MACRON,LE PEN,MACRON,"81,21",du bac du Pellerin
Issé,Châteaubriant,1807,"38,66",Droite,"13,31",LE PEN,MACRON,FILLON,MACRON,"62,23",de la carrière des fusillés
Jans,Guéméné-Penfao,1391,"33,21",Centre,"17,27",MACRON,LE PEN,MÉLENCHON,MACRON,"66,11",de la vache Nantaise
Joué-sur-Erdre,Nort-sur-Erdre,2561,"54,53",Gauche,"13,87",MÉLENCHON,MACRON,LE PEN,MACRON,"68,63",de la Nuit de L'Erdre
